id,model,completion,task,source,language
0,meta-llama/Llama-3.2-3B-Instruct,"열기구는 열을 발생시키는 장치로, 일반적으로 전기 또는 가스 등 에너지를 사용하여 열을 발생시킵니다. 열기구의 작동 방식은 다음과 같습니다.

1. **전기열기구**: 전기열기구는 전기를 전달하여 열을 발생시킵니다. 전기 전달은 전기 전류가 전기선에 전달되는 quá trình입니다. 전기 전류가",monolingual,native,ko
1,meta-llama/Llama-3.2-3B-Instruct,"상대방이 고의적으로 가시 돋힌 말로 상처 줄 때는, 그 사람의 감정을 이해하고, 그 사람의 감정을 존중하는 대응이 중요합니다.以下은 5가지 방법입니다.

1.  **감정에 대한 이해**: 상대방의 감정을 이해하고, 그 사람의 감정을 존중하는 대응을 하세요. 상대방이 가시 돋힌 말로 상처를 줄 때,",monolingual,native,ko
2,meta-llama/Llama-3.2-3B-Instruct,"이 글은 돼지엄마라는 용어를 사용하는 것을 비판하고, 그 용어를 사용하는 사람들을 비판하는 내용입니다.

저자는 돼지엄마라는 용어를 사용하는 것을 비판합니다. 돼지엄마라는 용어는 돼지가 새끼들을 끌고 다니듯이 자녀를 명문대에 보내기 위해 자녀 교육에 투자를 아끼지 않을 뿐만 아니라, 물불을",monolingual,native,ko
3,meta-llama/Llama-3.2-3B-Instruct,"콘크리트는 가스, 물, Cement, aggregates(가루, 돌, gravel 등)로 만든 물질입니다. 

1. 가스: 가스에는 주로 Silica sand, limestone, clay, iron oxide, alumina, feldspar 등이 포함됩니다.
2. 물: 물은 콘크리트의 수분량을 조절하여 강도와 강도, 강도에 따라 달라집니다.
3. Cement: Cement",monolingual,native,ko
4,meta-llama/Llama-3.2-3B-Instruct,"인구 감소는 경제에 미치는 영향은 다음과 같습니다.

1. **노동력 감소**: 인구 감소로 인해 노동력은 감소하여 노동력의 비율이 낮아질 수 있습니다. 이로 인해 노동력의 수요가 감소하여 노동력의 비율이 낮아질 수 있습니다.
2. **노동력의 비율 감소**: 인구 감소로 인해 노동력의 비율",monolingual,native,ko
5,meta-llama/Llama-3.2-3B-Instruct,"자바와 파이썬은 두 가지 프로그래밍 언어로, 각자 다양한 장점과 단점을 가지고 있습니다.

**자바의 장점 3가지:**

1.  **Object-Oriented Programming (OOP) 지원**: 자바는 OOP를 지원하는 언어로, 객체-지향적 프로그래밍을 사용하여 코드를 작성할 수 있습니다. 이로 인해 코드를 재사용할 수 있고, 유지",monolingual,native,ko
6,meta-llama/Llama-3.2-3B-Instruct,"다음은 기사 요약입니다.

한국은 세계적인 경쟁력을 갖춘 산업군을 갖고 있으며, 사우디, UAE, 카타르 등과 투자 계약을 체결했다. 한국은 유엔 산업 개발 기구에 따르면 제조업 경쟁력 지수에서 3위로 등급이 상승했다. 한국은 조선, 디스플레이, 석유화학, 자동차, 가공 공작기계, 철",monolingual,native,ko
7,meta-llama/Llama-3.2-3B-Instruct,"슈필데스야레스는 스페인에 위치한 마을로, 카스्त리야나 지방에 위치해 있습니다. 마을은 2007년 7월 1일 마을 자치체로 설립되었습니다. 슈필데스야레스는 카스्त리야나 지방의 마을 중 하나로, 2019년 1월에 1,000명이 넘는 인구를 가지고 있습니다.

슈필",monolingual,native,ko
8,meta-llama/Llama-3.2-3B-Instruct,"Environment 오염 문제는 현재 세계에서 가장 큰 문제 중 하나입니다. 환경 오염은 인간의 활동으로 인해 발생하는 환경의 오염을 말합니다. 환경 오염은 인간의 건강에 영향을 미치고, 자연의 생태계에 영향을 미치며, 환경 오염은 인간의 삶에 큰 영향을 미치고 있습니다.

이러한 환경 오염 문제를 이번 과학 시간에 다루고자 할 때, 학생들에게 다양한 주제를",monolingual,native,ko
9,meta-llama/Llama-3.2-3B-Instruct,"서울건강병원 산부인과 전문의는 ""산모의 식사요법에 대해 알려드릴게요.""

""산모는 임신 중에는 하루에 300칼로리, 분만한 이후 수유 중에는 500칼로리가 더 필요합니다. 또한, 성인여자는 하루에 2,000-2,200칼로리 정도 섭취하는 것이 적당합니다. 수유를 하지 않는 산모",monolingual,native,ko
